,e_cblp,e_cp,e_cparhdr,e_maxalloc,e_sp,e_lfanew,NumberOfSections,CreationYear,FH_char0,FH_char1,FH_char2,FH_char3,FH_char4,FH_char5,FH_char6,FH_char7,FH_char8,FH_char9,FH_char10,FH_char11,FH_char12,FH_char13,FH_char14,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,OH_DLLchar0,OH_DLLchar1,OH_DLLchar2,OH_DLLchar3,OH_DLLchar4,OH_DLLchar5,OH_DLLchar6,OH_DLLchar7,OH_DLLchar8,OH_DLLchar9,OH_DLLchar10,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,sus_sections,non_sus_sections,packer,packer_type,E_text,E_data,filesize,E_file,class,fileinfo
0,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.34085896444611574,-0.16105345840459886,-0.16525095987479674,-0.24216794695792038,-0.1636622188632721,-0.2660396234340931,1,1,1,1,0,-0.16315859055321313,0,4,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,0,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,0.0,NoPacker,0.0,0.0,-0.40455703566661105,0.7105991284306475,0.0,
1,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.33083523628350975,-0.1615032603882555,-0.16525095987479674,-0.2372602224846842,-0.1636622188632721,-0.26113943083054875,1,1,1,1,0,-0.16315859055321313,0,4,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,0,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,1.0,InnoSetupModule,0.0,0.0,-0.43791034738624673,0.6807408424001556,0.0,
2,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.3195585421005781,-0.15901204940184954,-0.16525095987479674,-0.2306752052723311,-0.1636622188632721,-0.25501419007611836,1,1,1,5,0,-0.09939093875678243,0,5,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,0.0,NoPacker,0.0,0.0,-0.20455502443952728,0.7247129530595322,0.0,
3,144,3,4,0.1961161351381838,0.19611613513818388,216,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,-0.34493110401217436,-0.15447942941269427,-0.16476611598274354,-0.24824174287097803,-0.1636622188632721,-0.2684897197358652,1,1,1,4,0,-0.09939093875678243,0,4,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,0.0,NoPacker,0.0,0.0,-0.4568789931247816,0.6602326648197767,0.0,
4,96,1,4,0.1961161351381838,0.19611613513818388,96,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,-0.3161128855446823,-0.1590466495544385,-0.16525095987479674,-0.2298806821696761,-0.1636622188632721,-0.25378914192523233,1,1,1,4,0,-0.16315859055321313,0,4,0,1,1,-0.3450540321859787,2,0,0,0,0,0,0,0,0,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.8351379011296992,0.0,1.0,Armadillov171,0.0,0.0,-0.39257856934824925,0.700080535020322,0.0,
6,144,3,4,0.1961161351381838,0.19611613513818388,224,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,-0.185804419430805,-0.1528532222410126,-0.16525095987479674,-0.1905997155850632,-0.1636622188632721,-0.1900866380791563,1,1,1,5,0,-0.16315859055321313,0,5,0,1,1,-0.4086058439047998,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,0.0,NoPacker,0.0,0.0,-0.4219546773937673,-1.2625820973944892,0.0,
7,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.3195585421005781,-0.15160761674780965,-0.16525095987479674,-0.2306752052723311,-0.1636622188632721,-0.25501419007611836,1,1,1,5,0,-0.09939093875678243,0,5,0,1,1,1.2330514938369521,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,0.0,NoPacker,0.0,0.0,1.2041385472040336,0.7307356141914765,0.0,
8,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.33396765133432416,-0.13652195021901808,-0.16525095987479674,-0.2388657008031858,-0.1636622188632721,-0.26236447898143483,1,1,1,1,0,-0.09939093875678243,0,4,0,1,1,-0.4266063921330201,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,0.0,NoPacker,0.0,0.0,0.23878410969828504,0.7276659118188774,0.0,
9,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.3195585421005781,-0.15901204940184954,-0.16525095987479674,-0.2306752052723311,-0.1636622188632721,-0.25501419007611836,1,1,1,5,0,-0.09939093875678243,0,5,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,0.0,NoPacker,0.0,0.0,-0.17346311149669508,0.7264164604052711,0.0,
10,144,3,4,0.1961161351381838,0.19611613513818388,264,4,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,-0.1638775140751045,-0.0405065267846222,-0.16525095987479674,-0.15866998956496167,-0.1636622188632721,-0.18028625287206768,1,1,1,4,0,-0.16315859055321313,0,4,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,0,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.8351379011296992,0.0,1.0,Armadillov171,0.0,0.0,-0.44203793853928547,-2.214177634126176,0.0,
11,144,3,4,0.1961161351381838,0.19611613513818388,128,3,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,8,0,0.2320597483478303,-0.16008465413210765,-0.16525095987479674,0.04368083394633669,-0.16172326322074979,0.014496403118818592,1,1,1,4,0,-0.16315859055321313,0,4,0,1,1,-0.3787820300773434,2,0,0,0,0,1,0,0,0,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-1.3418507849612022,0.0,1.0,NETexecutableMicrosoft,0.0,0.0,-0.42741800490841647,-1.0588799921147873,0.0,
13,144,3,4,0.1961161351381838,0.19611613513818388,216,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,-0.34493110401217436,-0.15447942941269427,-0.16476611598274354,-0.24824174287097803,-0.1636622188632721,-0.2684897197358652,1,1,1,4,0,-0.09939093875678243,0,4,0,1,1,-0.3661981108174914,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,0.0,NoPacker,0.0,0.0,-0.41491268682896887,0.6999290341605486,0.0,
14,144,3,4,0.1961161351381838,0.19611613513818388,248,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.3593402132459204,-0.1625758651185136,-0.16525095987479674,-0.2521550201977276,-0.16560117450579442,-0.2770650567920678,0,0,0,0,0,-0.16315859055321313,0,0,0,0,0,-0.4266063921330201,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.2153799409219204,-1.3506000899655957,-1.8648116466609908,-7.280109889280518,1,0.6850007503648097,0.0,0.0,NoPacker,0.0,0.0,-0.12994165990507603,0.7181628500291571,1.0,
15,144,3,4,0.1961161351381838,0.19611613513818388,256,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,-0.28134307848064294,-0.15911584985961646,-0.16525095987479674,-0.21582361793101387,-0.1636622188632721,-0.2366384678128272,1,1,1,4,0,-0.16315859055321313,0,4,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,0,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,1.0,Armadillov171,0.0,0.0,-0.3493605057982884,0.7039336857164944,0.0,
16,144,3,4,0.1961161351381838,0.19611613513818388,240,3,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,-0.31673936855484514,-0.15814704558712525,-0.0954334394191369,-0.18612470342587353,-0.0938598157324689,-0.2109124566442196,1,1,1,4,0,-0.16315859055321313,0,4,0,1,1,-0.41092855418989477,2,0,0,0,0,0,0,0,0,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-1.3418507849612022,0.0,1.0,UPXv20MarkusLaszloReiser,0.0,0.0,-0.45743855348673523,0.63373139723033,0.0,
17,80,2,4,0.1961161351381838,0.19611613513818388,256,10,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,0.058210713027633455,-0.15053501201755154,-0.16525095987479674,-0.0428512827176189,-0.1636622188632721,-0.07003191929232074,1,1,1,6,0,-0.09939093875678243,0,6,0,1,1,0.28277466921209177,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,2.2051394018593187,0.0,0.0,NoPacker,0.0,0.0,0.24288557001316496,0.7088171127758557,0.0,
18,144,3,4,0.1961161351381838,0.19611613513818388,288,5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,14,33,1.0646556688542865,-0.08392971828378142,-0.16525095987479674,0.2934166988296503,-0.1636622188632721,0.42121238921299625,1,1,1,6,0,-0.16315859055321313,0,6,0,1,1,0.9715430406539385,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,0.0,NoPacker,0.0,0.0,0.9406647300890688,0.26125897718279717,0.0,
19,128,1,4,-5.099019513592785,-5.099019513592785,256,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,14,29,-0.2669339692468969,7.26624989649661,-0.16525095987479674,-0.2500176282892448,-0.1636622188632721,-0.23051322705839683,1,1,1,6,0,7.276400785697036,2,6,0,1,1,4.47689185164986,2,1,0,1,0,0,0,0,1,0,0,1.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,0.17828786653330672,0.0,0.0,NoPacker,0.0,0.0,4.487104961198653,0.7243417365900403,0.0,
20,80,2,4,0.1961161351381838,0.19611613513818388,256,10,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,0.09423348611199857,-0.1567630394835664,-0.16525095987479674,-0.02539307534667983,-0.1636622188632721,-0.05288124517991565,1,1,1,6,0,-0.09939093875678243,0,6,0,1,1,3.540749334802827,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,2.2051394018593187,0.0,0.0,NoPacker,0.0,0.0,3.538274043830478,0.7320812622830621,0.0,
21,144,3,4,0.1961161351381838,0.19611613513818388,128,6,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2,22,-0.3480635190629887,-0.15537903338000753,-0.14779657976088179,-0.2507089942368634,-0.1636622188632721,-0.2697147678867513,1,1,1,4,0,-0.15253064858714135,0,4,0,1,1,-0.4185338438228397,2,1,0,1,0,1,0,0,0,0,0,0.0,1.9638520873674665,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,0.17828786653330672,0.0,1.0,MinGWGCC3x,0.0,0.0,-0.4456262432565284,0.18485166973406106,0.0,
22,144,3,4,0.1961161351381838,0.19611613513818388,304,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,4.078665430747862,-0.15648623826285463,7.175285565810552,6.669737553293938,7.1752848880836755,6.530527517681863,1,1,1,6,0,-0.16315859055321313,0,6,0,1,1,-0.0966189797841186,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-1.3418507849612022,0.0,0.0,NoPacker,0.0,0.0,-0.14205807902764894,0.630821200085524,0.0,
23,120,1,4,-5.099019513592785,-5.099019513592785,120,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,14,0,1.3547173025596961,-0.16008465413210765,1.079828154917804,1.4013440190177033,1.0811473036360517,1.3485738394337565,1,1,1,5,1,-0.16315859055321313,0,5,1,1,1,-0.2994290636714716,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-1.3418507849612022,0.0,1.0,UPXV200V290MarkusOberhumerLaszloMolnarJohnReiser,0.0,0.0,-0.3449490796790413,0.3734093003552133,0.0,
24,144,3,4,0.1961161351381838,0.19611613513818388,88,4,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,-0.35056945110364024,-0.1610188582520099,-0.16525095987479674,-0.24666304281101092,-0.1636622188632721,-0.2709398160376374,1,1,1,4,0,-0.16315859055321313,0,4,0,1,1,-0.4239977241690718,2,0,0,0,0,0,0,0,0,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.8351379011296992,0.0,0.0,NoPacker,0.0,0.0,-0.47158705075468293,-1.5076343277522597,0.0,
25,144,3,4,0.1961161351381838,0.19611613513818388,128,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,48,0,0.06635499215975078,-0.15980785291139588,-0.16525095987479674,-0.03794416684116761,-0.16172326322074979,-0.2770650567920678,1,1,1,4,0,-0.16315859055321313,0,6,0,1,1,-0.4266063921330201,2,1,0,1,0,1,0,0,1,1,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-1.3418507849612022,0.0,1.0,NETexecutableMicrosoft,0.0,0.0,-0.44000802294603414,0.16994967953472562,0.0,
26,144,3,4,0.1961161351381838,0.19611613513818388,216,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,-0.3433648964867672,-0.13361553740154447,-0.15749345760194566,-0.24796057115636552,-0.1636622188632721,-0.26726467158497913,1,1,1,4,0,-0.09939093875678243,0,4,0,1,1,0.8507931020203214,2,1,0,1,0,1,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,0.0,NoPacker,0.0,0.0,0.8173037463312257,0.7330828841683789,0.0,
27,80,2,4,0.1961161351381838,0.19611613513818388,256,9,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,0.02156145693310547,-0.14932400667693752,-0.16525095987479674,-0.06080001909716764,-0.1636622188632721,-0.08840764155561188,1,1,1,5,0,-0.16315859055321313,0,5,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,0,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.6984265180278155,0.0,1.0,BobSoftMiniDelphiBoBBobSoft,0.0,0.0,-0.4362942000992902,-1.3768592817911236,0.0,
28,144,3,4,0.1961161351381838,0.19611613513818388,128,7,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2,34,-0.33584710036481275,-0.1597732527588069,-0.10319094169198799,-0.24668008352098744,-0.1636622188632721,-0.2635895271323209,1,1,1,4,0,-0.09939093875678243,0,4,0,1,1,1.5124866566200068,2,1,0,1,0,0,0,0,1,0,0,0.0,1.9638520873674665,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,0.6850007503648097,0.0,0.0,NoPacker,0.0,0.0,1.4877042756730103,0.7329664518158041,0.0,
29,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.3195585421005781,-0.14105457020817333,-0.16525095987479674,-0.2306752052723311,-0.1636622188632721,-0.25501419007611836,1,1,1,5,0,-0.09939093875678243,0,5,0,1,1,-0.13875465003695964,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,0.0,NoPacker,0.0,0.0,-0.18265603046732196,0.6667205023550863,0.0,
30,80,2,4,0.1961161351381838,0.19611613513818388,256,8,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,25,-0.3336544098292427,-0.1613648597778996,-0.16525095987479674,-0.2388486600932093,-0.1636622188632721,-0.26236447898143483,1,1,1,1,0,-0.09939093875678243,0,4,0,1,1,0.05355810159059035,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,1.5961637426866133,-0.15803488531025342,0.1373605639486888,1,1.1917136341963126,0.0,0.0,NoPacker,0.0,0.0,0.01058494175834037,0.7326932904177317,0.0,
31,144,3,4,0.1961161351381838,0.19611613513818388,368,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,29,5.492011101675299,0.26985684193845205,-0.16525095987479674,2.234088521254835,-0.1636622188632721,2.5846474236778088,1,1,1,5,1,-0.16315859055321313,0,5,1,1,1,0.286409150783688,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,1.0,MoleBoxv20,0.0,0.0,0.2465874988232297,-1.0727882497404675,0.0,
32,144,3,4,0.1961161351381838,0.19611613513818388,272,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,16,-0.2277787811117174,-0.08081570455077398,-0.16525095987479674,-0.2268325251726271,-0.1636622188632721,-0.2109124566442196,1,1,1,6,0,-0.16315859055321313,0,6,0,1,1,-0.36177990658081793,2,1,0,1,0,0,0,0,1,0,0,1.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,0.0,NoPacker,0.0,0.0,-0.40808983487935097,0.0627932172602686,0.0,
